ID	AlternateID	Annotation
gene_2205		product_name=putative prolyl-tRNA synthetase
gene_2210		product_name=putative 3-ketosteroid-delta-1-dehydrogenase
gene_2213		product_name=hypothetical protein
gene_2214		product_name=putative tryptophan permease
gene_2215		product_name=hypothetical protein
gene_2216		product_name=hypothetical protein
gene_2218		product_name=putative hscarg dehydrogenase
gene_2219		product_name=hypothetical protein
gene_2225		product_name=putative yapsin
gene_2226		product_name=hypothetical protein
gene_2228		product_name=hypothetical protein
gene_2230		product_name=Beta-lactamase-like protein
gene_2233		product_name=hypothetical protein
gene_2234		product_name=FAD-NAD(P)-binding-domain containing protein
gene_2235		product_name=putative methylenetetrahydrofolate dehydrogenase
gene_2236		product_name=putative monocarboxylate permease
gene_2238		product_name=hypothetical protein
gene_2239		product_name=putative homoserine dehydrogenase
gene_2241		product_name=Domain of unknown function (DUF3425)-domain containing protein
gene_2245		product_name=hypothetical protein
gene_2249		product_name=hypothetical protein
gene_2250		product_name=hypothetical protein
gene_2255		product_name=putative acetolactate synthase
gene_2256		product_name=hypothetical protein
gene_2257		product_name=Heterokaryon incompatibility protein (HET)-domain containing protein
gene_2259		product_name=hypothetical protein
gene_2268		product_name=putative cation-transporting ATPase
gene_2269		product_name=hypothetical protein
gene_2276		product_name=putative FAD binding monooxygenase
gene_2279		product_name=hypothetical protein
gene_2282		product_name=hypothetical protein
gene_2287		product_name=putative short-chain dehydrogenase
gene_2288		product_name=hypothetical protein
gene_2289		product_name=oxidoreductase
gene_2290		product_name=nuclear transport factor 2 domain protein
gene_2291		product_name=hypothetical protein
gene_2292		product_name=hypothetical protein
gene_2294		product_name=hypothetical protein
gene_2297		product_name=hypothetical protein
gene_2299		product_name=hypothetical protein
gene_2302		product_name=hypothetical protein
gene_2303		product_name=alpha-ketoglutarate-dependent taurine dioxygenase
gene_2305		product_name=putative MFS transporter Liz1/Seo1
gene_2306		product_name=hypothetical protein
gene_2312		product_name=putative pantothenate transporter
gene_2317		product_name=hypothetical protein
gene_2319		product_name=class II aldolase/adducin domain protein
gene_2320		product_name=hypothetical protein
gene_2322		product_name=Alpha/Beta hydrolase fold
gene_2323		product_name=hypothetical protein
gene_2328		product_name=putative Na(+)/H(+) antiporter
gene_2331		product_name=hypothetical protein
gene_2333		product_name=Protein of unknown function (DUF1212)-domain containing protein
gene_2335		product_name=hypothetical protein
gene_2340		product_name=hypothetical protein
gene_2343		product_name=hypothetical protein
gene_2344		product_name=hypothetical protein
gene_2346		product_name=hypothetical protein
gene_2347		product_name=putative MFS transporter
gene_2349		product_name=hypothetical protein
gene_2350		product_name=putative aldehyde reductase I
gene_2351		product_name=putative pantothenate transporter
gene_2354		product_name=putative NPP1 domain protein
gene_2355		product_name=Protein of unknown function (DUF3237)-domain containing protein
gene_2357		product_name=putative actin-binding protein Fragmin
gene_2359		product_name=putative short-chain dehydrogenase
gene_2366		product_name=Transcriptional activator of glycolytic enzymes-domain containing protein
gene_2368		product_name=hypothetical protein
gene_2371		product_name=hypothetical protein
gene_2374		product_name=hypothetical protein
gene_5		product_name=galactose oxidase
gene_6		product_name=branched-chain amino acid aminotransferase/4-amino-4-deoxychorismate lyase
gene_16		product_name=expressed protein
gene_12		product_name=Cytochrome P450
gene_31		proteinId=1000245
gene_40		product_name=hypothetical protein
gene_51		product_name=Mss4-like protein
gene_53		product_name=FAD-binding protein
gene_59		product_name=Probable cutinase 1
gene_74		product_name=hypothetical protein
gene_72		product_name=aconitate hydratase
gene_96		product_name=putative arabinan-endo 1%2C5-alpha-L-arabinase
gene_93		product_name=hypothetical protein
gene_109		product_name=hypothetical protein
gene_113		product_name=hypothetical protein
gene_128		product_name=hypothetical protein
gene_133		product_name=integral peroxisomal membrane protein
gene_142		product_name=putative small molecule transporter
gene_144		product_name=putative 3-5 exonuclease
gene_162		product_name=expressed protein
gene_181		product_name=hypothetical protein
gene_180		product_name=hypothetical protein
gene_213		product_name=putative C6 finger domain protein
gene_198		product_name=hypothetical protein
gene_219		product_name=expressed protein
gene_202		proteinId=1007984
gene_217		product_name=hypothetical protein
gene_216		product_name=hypothetical protein
gene_201		product_name=hypothetical protein
gene_222		product_name=hypothetical protein
gene_225		product_name=hypothetical protein
gene_237		product_name=glycosyl hydrolase
gene_239		product_name=hypothetical protein
gene_261		product_name=hypothetical protein
gene_303		product_name=COMPASS complex subunit Sdc1
gene_327		product_name=lignostilbene-alpha%2Cbeta-dioxygenase
gene_331		product_name=C6 transcription factor
gene_329		product_name=salicylate hydroxylase
gene_353		product_name=Amidase signature domain-containing protein
gene_363		product_name=hypothetical protein
gene_377		product_name=MFS transporter
gene_376		product_name=dehydrogenase with different specificitie
gene_382		product_name=expressed protein
gene_401		product_name=hypothetical protein
gene_398		product_name=hypothetical protein
gene_397		product_name=C4-dicarboxylate transporter/malic acid transport protein
gene_400		product_name=ferric reductase
gene_406		product_name=tropomyosin-1
gene_412		product_name=cell division control protein 3
gene_424		product_name=hypothetical protein
gene_445		product_name=expressed protein
gene_440		product_name=cofilin
gene_494		product_name=xanthine/uracil permease
gene_492		product_name=P-loop containing nucleoside triphosphate hydrolase protein
gene_483		product_name=fructose-6-phosphate 2-kinase/fructose-2%2C 6-biphosphatase
gene_449		product_name=S-adenosyl-L-methionine-dependent methyltransferase
gene_464		product_name=trans-aconitate methyltransferase
gene_489		product_name=RING finger domain protein
gene_526		product_name=putative NADPH flavin oxidoreductase
gene_522		product_name=hypothetical protein
gene_550		product_name=hypothetical protein
gene_556		product_name=fungal-specific transcription factor domain protein
gene_558		product_name=hypothetical protein
gene_560		product_name=hypothetical protein
gene_588		product_name=L-Aspartase-like protein
gene_599		product_name=Domain of unknown function (DUF202)-domain containing protein
gene_614		product_name=Glycosyl hydrolase family 76-domain containing protein
gene_620		product_name=DNA mismatch repair protein
gene_627		product_name=hypothetical protein
gene_647		product_name=COP9 signalosome complex subunit 4
gene_642		product_name=phosphatase PP2A regulatory subunit B
gene_650		product_name=cysteine protease
gene_651		product_name=expressed protein
gene_683		product_name=peroxisomal biogenesis protein peroxin
gene_684		proteinId=1037012
gene_658		product_name=Carboxylesterase
gene_670		product_name=DNA-directed RNA polymerase subunit E
gene_686		product_name=U6 snRNA phosphodiesterase Usb1
gene_681		product_name=autophagy protein Apg6
gene_704		product_name=sn-1%2C2-diacylglycerol ethanolamine and cholinephosphotransferase
gene_697		product_name=bis-tetraphosphatase
gene_709		product_name=COP9 signalosome complex subunit 1
gene_714		product_name=expressed protein
gene_724		product_name=putative peroxisomal membrane protein
gene_719		product_name=hypothetical protein
gene_738		product_name=3-hydroxyanthranilate 3%2C4-dioxygenase
gene_742		product_name=Fungal specific transcription factor domain-domain containing protein
gene_743		product_name=hypothetical protein
gene_758		product_name=MFS transporter
gene_753		product_name=DNA mismatch repair protein Msh1
gene_750		product_name=acetamidase
gene_763		product_name=hypothetical protein
gene_761		product_name=Protein of unknown function (DUF3433)-domain containing protein
gene_768		product_name=hypothetical protein
gene_771		product_name=hypothetical protein
gene_783		product_name=hypothetical protein
gene_788		product_name=hypothetical protein
gene_795		product_name=hypothetical protein
gene_814		product_name=Vta1 like-domain containing protein
gene_813		product_name=hypothetical protein
gene_816		product_name=peroxisomal carrier protein
gene_830		product_name=Protein of unknown function (DUF2414)-domain containing protein
gene_844		product_name=calmodulin
gene_838		product_name=putative aminoglycoside phosphotransferase
gene_834		product_name=hypothetical protein
gene_850		product_name=hypothetical protein
gene_851		product_name=WD40 repeat protein
gene_866		product_name=F-actin capping protein%2C beta subunit
gene_869		product_name=Alpha/Beta hydrolase fold
gene_881		product_name=hypothetical protein
gene_888		product_name=Zn(II)2Cys6 transcription factor
gene_908		product_name=putative transporter
gene_915		product_name=alpha/beta fold family hydrolase
gene_930		product_name=hypothetical protein
gene_935		product_name=F-box domain protein
gene_948		product_name=pachytene checkpoint component Pch2
gene_958		product_name=hypothetical protein
gene_960		product_name=hypothetical protein
gene_939		product_name=glycerol-3-phosphate dehydrogenase [NAD+]
gene_989		product_name=expressed protein
gene_988		product_name=hypothetical protein
gene_999		product_name=Putative peptidase domain-containing protein
gene_992		product_name=esterase/lipase
gene_1008		product_name=hypothetical protein
gene_1010		product_name=PLAC8 family-domain containing protein
gene_1013		product_name=Alpha/Beta hydrolase fold
gene_1036		product_name=NADH:ubiquinone oxidoreductase 6.6kD subunit
gene_1070		product_name=GNAT family acetyltransferase
gene_1079		product_name=hypothetical protein
gene_1084		product_name=GNS1/SUR4 family-domain containing protein
gene_1087		product_name=Major facilitator superfamily domain-containing protein
gene_1083		product_name=hypothetical protein
gene_1092		product_name=hypothetical protein
gene_1102		product_name=Ribonuclease T2-like protein
gene_1112		product_name=hypothetical protein
gene_1140		product_name=translation initiation factor eIF-2B subunit family protein
gene_1138		product_name=choline transport protein
gene_1121		product_name=histidine acid phosphatase
gene_1146		product_name=hypothetical protein
gene_1169		product_name=hypothetical protein
gene_1161		product_name=beta-alanine synthase
gene_1194		product_name=C6 finger domain protein
gene_1260		product_name=SNF2 family N-terminal domain-domain containing protein
gene_1238		product_name=Nucleotide-diphospho-sugar transferase
gene_1234		product_name=expressed protein
gene_1249		product_name=hypothetical protein
gene_1257		product_name=putative xylanase/chitin deacetylase
gene_1247		product_name=Hsp70 family protein
gene_1242		product_name=alpha-amylase
gene_1230		product_name=conserved protein typically associated with flavo protein oxygenase
gene_1277		product_name=GTP-binding ADP-ribosylation factor-like protein
gene_1289		product_name=hypothetical protein
gene_1283		product_name=putative metallopeptidase
gene_1296		product_name=expressed protein
gene_1318		product_name=expressed protein
gene_1300		product_name=tyrosine phosphatase-like protein
gene_1311		product_name=class II aldolase/adducin domain protein
gene_1302		product_name=distribution and morphology protein 35
gene_1328		product_name=expressed protein
gene_1356		product_name=putative acyl-CoA transferases/carnitine dehydratase
gene_1332		product_name=hypothetical protein
gene_1362		product_name=glycosyl transferase
gene_1360		product_name=tryptophan synthase beta chain
gene_1372		product_name=hypothetical protein
gene_1375		product_name=hypothetical protein
gene_1379		product_name=hypothetical protein
gene_1391		product_name=Concanavalin A-like lectin/glucanase domain-containing protein
gene_1386		product_name=sucrase/ferredoxin domain protein
gene_1388		product_name=Hypothetical protein (DUF2410)-domain containing protein
gene_1423		product_name=putative protease
gene_1422		product_name=SCP2 sterol-binding domain-containing protein
gene_1440		product_name=Protein kinase-like domain-containing protein
gene_1428		product_name=Domain of unknown function (DUF1917)-domain containing protein
gene_1425		product_name=hypothetical protein
gene_1457		product_name=expressed protein
gene_1458		product_name=expressed protein
gene_1469		product_name=sucrose transporter
gene_1492		product_name=hypothetical protein
gene_1502		product_name=copper transporter family protein
gene_1495		product_name=expressed protein
gene_1506		product_name=putative fumarylacetoacetate hydralase
gene_1498		product_name=Protein of unknown function (DUF2838)-domain containing protein
gene_1521		product_name=hypothetical protein
gene_1515		product_name=Domain of unknown function (DUF1338)-domain containing protein
gene_1522		product_name=membrane coat complex Retromer%2C subunit VPS5/SNX1
gene_1538		product_name=Ubiquitin-conjugating enzyme E2-binding protein
gene_1529		product_name=cell surface spherulin 4 family protein
gene_1533		product_name=phosphoinositide-specific phospholipase C
gene_1530		product_name=hypothetical protein
gene_1559		product_name=P-loop containing nucleoside triphosphate hydrolase protein
gene_1547		product_name=Protein of unknown function (DUF3605)-domain containing protein
gene_1589		product_name=WD-repeat protein WDR6%2C WD repeat superfamily
gene_1598		product_name=Protein of unknown function (DUF1769)-domain containing protein
gene_1627		product_name=Zinc knuckle-domain containing protein
gene_1626		product_name=hypothetical protein
gene_1606		product_name=hypothetical protein
gene_1630		product_name=putative S-adenosylmethionine-dependent methyltransferase
gene_1634		product_name=hypothetical protein
gene_1638		product_name=Major facilitator superfamily domain-containing protein
gene_1647		product_name=integral membrane protease of the rhomboid family
gene_1645		product_name=hypothetical protein
gene_1649		product_name=cell cycle-associated protein Mob1-1
gene_1642		product_name=expressed protein
gene_1677		product_name=hypothetical protein
gene_1688		product_name=cytochrome protein
gene_1695		product_name=delta-aminolevulinic acid dehydratase
gene_1699		product_name=Wings apart-like protein regulation of heterochromatin-domain containing protein
gene_1709		product_name=adenylate kinase fap7
gene_1712		product_name=Fork head domain-domain containing protein
gene_1724		product_name=Domain of unknown function (DUF2431)-domain containing protein
gene_1745		product_name=expressed protein
gene_1727		product_name=glucan synthesis regulatory protein
gene_1741		product_name=hypothetical protein
gene_1734		product_name=hypothetical protein
gene_1728		product_name=hypothetical protein
gene_1743		product_name=hypothetical protein
gene_1765		product_name=RFX family transcription factor
gene_1782		product_name=Peroxin-3
gene_1781		product_name=permease of the major facilitator superfamily
gene_1798		product_name=Ubiquitin carboxyl-terminal hydrolase-domain containing protein
gene_1796		product_name=serine/threonine protein kinase
gene_1820		product_name=hypothetical protein
gene_1804		product_name=hypothetical protein
gene_1850		product_name=Probable beta-glucosidase E
gene_1846		product_name=hypothetical protein
gene_1859		product_name=hypothetical protein
gene_1875		product_name=Domain of unknown function (DUF3425)-domain containing protein
gene_1882		product_name=hypothetical protein
gene_1881		product_name=hypothetical protein
gene_1885		product_name=hypothetical protein
gene_1896		product_name=GATA transcription factor
gene_1902		product_name=Pyridoxamine 5'-phosphate oxidase-domain containing protein
gene_1910		product_name=Metallo-dependent phosphatase-like protein
gene_1919		product_name=BAG domain protein
gene_1923		product_name=Six-hairpin glycosidase-like protein
gene_1934		product_name=Asparagine synthase-domain containing protein
gene_1940		product_name=hypothetical protein
gene_1938		product_name=sulfate/bicarbonate/oxalate exchanger SAT-1
gene_1950		product_name=hypothetical protein
gene_1947		product_name=hypothetical protein
gene_1948		product_name=hypothetical protein
gene_1945		product_name=expressed protein
gene_1960		product_name=LIM domain protein
gene_1955		product_name=alkaline phytoceramidase
gene_1958		product_name=ESCRT-II complex subunit-domain containing protein
gene_1966		product_name=Ribonuclease P 40kDa (Rpp40) subunit-domain containing protein
gene_1965		product_name=hypothetical protein
gene_1967		product_name=WD40-repeat-containing domain protein
gene_1973		product_name=expressed protein
gene_1995		product_name=Vacuolar import and degradation protein-domain containing protein
gene_2006		proteinId=1147610
gene_2018		product_name=putative splicing factor 3B subunit 10
gene_2047		product_name=putative C6 transcription factor
gene_2054		product_name=histone acetyltransferase GCN5
gene_2053		product_name=RGS domain protein
gene_2082		product_name=hypothetical protein
gene_2104		product_name=C6 transcription factor
gene_2113		product_name=DUF159 domain protein
gene_2111		product_name=Mediator of RNA polymerase II transcription subunit 1-domain containing protein
gene_2110		product_name=hypothetical protein
gene_2125		product_name=zinc knuckle domain protein
gene_2122		product_name=hypothetical protein
gene_2139		product_name=C6 transcription factor
gene_2188		product_name=integral membrane protein
gene_2185		product_name=hypothetical protein
gene_2190		product_name=hypothetical protein
gene_2174		product_name=hypothetical protein
gene_2208		product_name=oligomeric Golgi family complex subunit 6
gene_2227		proteinId=1170371
gene_2237		product_name=hypothetical protein
gene_2240		product_name=NAD-dependent aldehyde dehydrogenase
gene_2251		product_name=cytochrome P450 monooxygenase
gene_2260		product_name=expressed protein
gene_2272		product_name=expressed protein
gene_2285		product_name=putative geranylgeranyl pyrophosphate synthase
gene_2286		product_name=Heterokaryon incompatibility protein (HET)-domain containing protein
gene_2300		product_name=hypothetical protein
gene_2313		product_name=hypothetical protein
gene_2363		product_name=fumarylacetoacetate hydrolase
gene_2362		product_name=oxidoreductase
gene_2353		product_name=hypothetical protein
gene_315		product_name=hypothetical protein
gene_549		product_name=Zn(II)2Cys6 transcription factor
gene_1737		product_name=putative sugar kinase
gene_2332		product_name=hypothetical protein
gene_1049		product_name=expressed protein
gene_325		product_name=MFS transporter
gene_955		product_name=WD repeat-containing protein YCR072C
gene_1034		product_name=UDP-glucose/GDP-mannose dehydrogenase
gene_2197		product_name=1%2C3-beta-glucanosyltransferase gel3
gene_1069		product_name=Amidase signature domain-containing protein
gene_218		product_name=hypothetical protein
gene_1276		product_name=P-loop containing nucleoside triphosphate hydrolase protein
gene_41		product_name=hypothetical protein
gene_1680		product_name=RNA polymerase I-specific transcription initiation factor RRN6-like protein
gene_519		product_name=hypothetical protein
gene_1597		product_name=hypothetical protein
gene_2231		product_name=hypothetical protein
gene_2057		product_name=Fungal specific transcription factor domain-domain containing protein
gene_262		product_name=Protein of unknown function (DUF521)-domain containing protein
gene_439		product_name=fungal-specific transcription factor domain protein
gene_395		product_name=methionine permease
gene_1853		product_name=DRAP deaminase
gene_478		product_name=putative AAA family ATPase
gene_2263		product_name=CPA2 familytransporter
gene_404		product_name=hypothetical protein
gene_2298		product_name=hypothetical protein
gene_126		product_name=U4/U6 small nuclear ribonucleo protein PRP4
gene_1678		product_name=hypothetical protein
gene_101		product_name=cytochrome protein
gene_462		product_name=hypothetical protein
gene_1895		product_name=UDP-N-acetylmuramate--L-alanine ligase
gene_1601		product_name=mucin-7 precursor
gene_1086		product_name=AMP dependent ligase
gene_1043		product_name=putative DEAD/DEAH box helicase
gene_665		product_name=Integral membrane protein DUF106-domain containing protein
gene_86		product_name=1-aminocyclopropane-1-carboxylate synthase
gene_1648		product_name=hypothetical protein
gene_688		product_name=Major facilitator superfamily domain-containing protein
gene_2264		product_name=putative low density lipo protein receptor
gene_277		product_name=isoamyl alcohol oxidase
gene_2030		product_name=erythromycin esterase like protein
gene_2336		product_name=dehydrogenase with different specificitie
gene_938		product_name=ATP-dependent Clp protease
gene_2012		product_name=respiratory complex assembly protein Rmp1
gene_1122		product_name=hypothetical protein
gene_663		product_name=RNAPII transcription regulator C-terminal-domain containing protein
gene_392		product_name=hypothetical protein
gene_163		product_name=hypothetical protein
gene_2209		product_name=putative NGG1 interacting factor Nif3
gene_296		product_name=hypothetical protein
gene_1218		product_name=CUE domain protein
gene_207		product_name=5-Methylcytosine G/T mismatch-specific DNA glycosylase
gene_13		product_name=Beta-lactamase-like protein
gene_896		product_name=RNA polymerase I transcription factor
gene_24		product_name=hypothetical protein
gene_338		product_name=GroES (chaperonin 10)-like protein
gene_725		product_name=ankyrin repeat protein
gene_390		product_name=Transient receptor potential (TRP) ion channel-domain containing protein
gene_1174		product_name=protein phosphatase 2C
gene_339		product_name=monocarboxylate transporter
gene_2073		product_name=hypothetical protein
gene_36		product_name=Protein of unknown function (DUF3712)-domain containing protein
gene_378		product_name=hypothetical protein
gene_2002		product_name=RmlC-like cupin domain-containing protein
gene_2223		product_name=BolA protein
gene_590		product_name=K+/H+ antiporter
gene_1674		product_name=cytosolic iron-sulfur protein assembly protein 1
gene_2028		product_name=hypothetical protein
gene_268		product_name=hypothetical protein
gene_2017		product_name=Protein of unknown function (DUF3074)-domain containing protein
gene_1738		product_name=p21-activated serine/threonine protein kinase
gene_52		product_name=amino acid transporter
gene_1229		product_name=Fungal specific transcription factor domain-domain containing protein
gene_2009		product_name=fungal-specific transcription factor
gene_1685		product_name=putative coiled-coil protein
gene_346		product_name=Organic solute transporter Ostalpha-domain containing protein
gene_1752		product_name=Histone-lysine N-methyltransferase%2C H3 lysine-36 specific
gene_649		product_name=CCCH zinc finger protein
gene_1304		product_name=DNA mismatch repair protein msh-2
gene_993		product_name=hypothetical protein
gene_1562		product_name=WD40-repeat-containing domain protein
gene_2156		product_name=hypothetical protein
gene_155		product_name=Fungal specific transcription factor domain-domain containing protein
gene_422		product_name=hypothetical protein
gene_1866		product_name=expressed protein
gene_710		product_name=Major facilitator superfamily domain-containing protein
gene_871		product_name=Nuclear protein localization protein 4
gene_945		product_name=hypothetical protein
gene_2270		product_name=Domain of unknown function (DUF4396)-domain containing protein
gene_2191		product_name=hypothetical protein
gene_2321		product_name=Major facilitator superfamily domain-containing protein
gene_316		product_name=PhoD-like phosphatase-domain containing protein
gene_696		product_name=hypothetical protein
gene_1662		product_name=phospholipid methyltransferase
gene_855		product_name=pre-mRNA-splicing factor cwc22
gene_45		product_name=putative dimethylaniline monooxygenase
gene_2212		product_name=Nucleotide-diphospho-sugar transferase
gene_188		product_name=FAD/FMN-containing dehydrogenase
gene_2341		product_name=hypothetical protein
gene_95		product_name=UDP-glucuronosyl and UDP-glucosyl transferase
gene_2094		product_name=Golgi apparatus membrane protein tvp38
gene_340		product_name=putative homeobox protein meis
gene_359		product_name=Chondroitin AC/alginate lyase
gene_371		product_name=hypothetical protein
gene_417		product_name=Heterokaryon incompatibility protein (HET)-domain containing protein
gene_476		product_name=synaptobrevin
gene_572		product_name=hypothetical protein
gene_604		product_name=Protein of unknown function (DUF1479)-domain containing protein
gene_606		product_name=Up-regulated During Septation-domain containing protein
gene_1610		product_name=hypothetical protein
gene_2011		product_name=Glycoside hydrolase superfamily
gene_2247		product_name=hypothetical protein
gene_2275		product_name=hypothetical protein
gene_2330		product_name=Serine hydrolase FSH
gene_102		product_name=expressed protein
gene_234		product_name=Protein of unknown function (DUF4246)-domain containing protein
gene_293		product_name=expressed protein
gene_294		product_name=hypothetical protein
gene_350		product_name=expressed protein
gene_425		product_name=expressed protein
gene_428		product_name=expressed protein
gene_469		product_name=ribose-phosphate pyrophosphokinase 1
gene_516		product_name=expressed protein
gene_523		product_name=hypothetical protein
gene_540		product_name=hypothetical protein
gene_597		product_name=hypothetical protein
gene_676		product_name=hypothetical protein
gene_716		product_name=hypothetical protein
gene_776		product_name=hypothetical protein
gene_792		product_name=hypothetical protein
gene_806		product_name=hypothetical protein
gene_937		product_name=hypothetical protein
gene_942		product_name=expressed protein
gene_950		product_name=extracellular SCP domain protein Pry1
gene_972		product_name=hypothetical protein
gene_981		product_name=chaperonin complex component%2C TCP-1 delta subunit
gene_1030		product_name=expressed protein
gene_1044		product_name=hypothetical protein
gene_1183		product_name=hypothetical protein
gene_1191		product_name=hypothetical protein
gene_1354		product_name=hypothetical protein
gene_1389		product_name=Clr5 domain-domain containing protein
gene_1438		product_name=endosome-associated ubiquitin isopeptidase
gene_1453		product_name=Tryptophan RNA-binding attenuator protein-like domain-containing protein
gene_1540		product_name=amino acid permease
gene_1591		product_name=cellulose-binding GDSL lipase/acylhydrolase
gene_1637		product_name=serine/threonine protein phosphatase
gene_1771		product_name=hypothetical protein
gene_1818		product_name=expressed protein
gene_1836		product_name=hypothetical protein
gene_1871		product_name=hypothetical protein
gene_1893		product_name=NCS1 allantoate transporter
gene_1918		product_name=hypothetical protein
gene_1924		product_name=galacturan 1%2C4-alpha-galacturonidase C
gene_1927		product_name=hypothetical protein
gene_1932		product_name=expressed protein
gene_1970		product_name=expressed protein
gene_2023		product_name=hypothetical protein
gene_2099		product_name=Heterokaryon incompatibility protein (HET)-domain containing protein
gene_2206		product_name=hypothetical protein
gene_2229		product_name=hypothetical protein
gene_2246		product_name=hypothetical protein
gene_2365		product_name=hypothetical protein
gene_1		product_name=dihydrofolate reductase family protein
gene_2		product_name=expressed protein
gene_7		product_name=MFS transporter
gene_15		product_name=hypothetical protein
gene_67		product_name=Zn(II)2Cys6 transcription factor
gene_79		product_name=P-loop containing nucleoside triphosphate hydrolase protein
gene_84		product_name=Fungal specific transcription factor domain-domain containing protein
gene_88		product_name=hypothetical protein
gene_90		product_name=hypothetical protein
gene_129		product_name=Mss4-like protein
gene_167		product_name=expressed protein
gene_190		product_name=rho guanyl nucleotide exchange factor
gene_245		product_name=putative decarboxylase DEC1
gene_290		product_name=expressed protein
gene_307		product_name=hypothetical protein
gene_322		product_name=DHS-like NAD/FAD-binding domain-containing protein
gene_332		product_name=Major facilitator superfamily domain-containing protein
gene_351		product_name=hypothetical protein
gene_369		product_name=Major facilitator superfamily domain-containing protein
gene_408		product_name=Zn(II)2Cys6 transcription factor
gene_409		product_name=expressed protein
gene_411		product_name=nucleosome-binding factor SPN%2C POB3 subunit
gene_416		product_name=thiamine pyrophosphokinase
gene_441		product_name=C6 zinc finger domain protein
gene_448		product_name=nonsense-mediated mRNA decay 2 protein
gene_459		product_name=GPI inositol-deacylase
gene_460		product_name=Major facilitator superfamily domain-containing protein
gene_474		product_name=dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex
gene_475		product_name=hypothetical protein
gene_484		product_name=hypothetical protein
gene_498		product_name=expressed protein
gene_510		product_name=putative transporter
gene_542		product_name=hypothetical protein
gene_552		product_name=hypothetical protein
gene_554		product_name=thimet oligopeptidase
gene_562		product_name=choline transport protein
gene_573		product_name=hypothetical protein
gene_583		product_name=C6 transcription factor
gene_594		product_name=Pyridoxal phosphate-dependent transferase
gene_605		product_name=putative hydrolase
gene_616		product_name=Domain of unknown function (DUF3328)-domain containing protein
gene_631		product_name=chitin synthase
gene_632		proteinId=2136019
gene_648		product_name=putative transcription initiation factor IIF subunit beta
gene_718		product_name=Protein of unknown function (DUF3431)-domain containing protein
gene_722		product_name=valyl-tRNA synthetase
gene_769		product_name=hypothetical protein
gene_774		product_name=sensory transduction histidine kinase
gene_777		product_name=vesicular-fusion protein sec18
gene_786		product_name=M13 family peptidase
gene_801		product_name=beta-galactosidase/beta-glucuronidase
gene_831		product_name=hypothetical protein
gene_837		product_name=C2H2 finger domain transcription factor
gene_875		product_name=expressed protein
gene_943		product_name=expressed protein
gene_967		product_name=C6 zinc finger domain protein
gene_968		product_name=hypothetical protein
gene_977		product_name=hypothetical protein
gene_1016		product_name=NACHT and WD40 domain protein
gene_1020		product_name=zinc finger transcription factor
gene_1045		product_name=hypothetical protein
gene_1059		product_name=hypothetical protein
gene_1062		product_name=microtubule-binding protein
gene_1091		product_name=hypothetical protein
gene_1116		product_name=tRNA-dihydrouridine synthase
gene_1165		product_name=Magnesium transporter NIPA-domain containing protein
gene_1250		product_name=C6 transcription factor
gene_1253		product_name=hypothetical protein
gene_1278		product_name=putative gelsolin repeat protein
gene_1301		product_name=exosome 3'-5
gene_1359		product_name=expressed protein
gene_1367		product_name=lipase/esterase
gene_1369		product_name=beta-xylosidase
gene_1374		product_name=hypothetical protein
gene_1380		product_name=Heterokaryon incompatibility protein (HET)-domain containing protein
gene_1381		product_name=hypothetical protein
gene_1413		product_name=hypothetical protein
gene_1436		product_name=VID27 cytoplasmic protein-domain containing protein
gene_1448		product_name=Formate--tetrahydrofolate ligase-domain containing protein
gene_1541		product_name=hypothetical protein
gene_1566		product_name=MEMO1 family
gene_1608		product_name=putative methionine aminopeptidase
gene_1703		product_name=putative CDK9
gene_1704		product_name=hypothetical protein
gene_1710		product_name=Peptidase family C78-domain containing protein
gene_1721		product_name=Der1-like family-domain containing protein
gene_1736		product_name=lysophosphatidic acid acyltransferase
gene_1739		product_name=ribosome biogenesis protein
gene_1755		product_name=hypothetical protein
gene_1759		product_name=60S ribosomal protein L39
gene_1770		product_name=phosphoribosylformimino-5-aminoimidazole carboxamide ribonucleotide isomerase
gene_1787		product_name=lysophosphatidic acid acyltransferase
gene_1806		product_name=Protein kinase-like domain-containing protein
gene_1807		proteinId=2140841
gene_1814		product_name=sodium transport ATPase 5
gene_1834		product_name=Fungal specific transcription factor domain-domain containing protein
gene_1839		product_name=hypothetical protein
gene_1861		product_name=saponin hydrolase precursor
gene_1862		product_name=aldo/keto reductase
gene_1906		proteinId=2141346
gene_1909		product_name=Pyridoxal phosphate-dependent transferase
gene_1917		product_name=integral membrane protein
gene_1951		product_name=hypothetical protein
gene_1957		product_name=signaling protein swift
gene_1993		product_name=hypothetical protein
gene_2033		product_name=TBP associated factor
gene_2045		product_name=rox3 family protein
gene_2074		product_name=Thioesterase-like superfamily-domain containing protein
gene_2098		product_name=hypothetical protein
gene_2123		product_name=hypothetical protein
gene_2137		product_name=Transient receptor potential (TRP) ion channel-domain containing protein
gene_2147		product_name=Aspartic peptidase domain-containing protein
gene_2157		product_name=dehydrogenase with different specificitie
gene_2182		product_name=hypothetical protein
gene_2262		product_name=Uncharacterized alpha/beta hydrolase domain (DUF2235)-domain containing protein
gene_2295		product_name=hypothetical protein
gene_2304		product_name=FAD dependent oxidoreductase
gene_2342		product_name=ankyrin repeat protein
gene_576		product_name=Alpha/Beta hydrolase fold
